EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_IMMIGRATION_CATEGORY-MAIN_CATEGORY	FR_CATÉGORIE_D'IMMIGRATION-CATÉGORIE_PRINCIPALE	EN_IMMIGRATION_CATEGORY-GROUP	FR_CATÉGORIE_D'IMMIGRATION-GROUPE	EN_IMMIGRATION_CATEGORY-COMPONENT	FR_CATÉGORIE_D'IMMIGRATION-COMPOSANTE	TOTAL
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	All Other Immigration	Toute autre immigration	Humanitarian & Compassionate	Circonstances d'ordre humanitaire	Humanitarian & Compassionate	Circonstances d'ordre humanitaire	35
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	All Other Immigration	Toute autre immigration	Other Immigrants not included elsewhere	Autres immigrants non inclus ailleurs	Permit Holder Class	Catégorie des titulaires de permis	--
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	All Other Immigration	Toute autre immigration	Public Policy	Politique d'intérêt public	Public Policy	Politique d'intérêt public	5
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Economic	Économique	Provincial Nominee Program	Candidats des provinces ou des territoires	Provincial Nominee Program	Candidats des provinces ou des territoires	545
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Economic	Économique	Worker Program	Programme des travailleurs	Canadian Experience	Catégorie de l’expérience canadienne	235
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Economic	Économique	Worker Program	Programme des travailleurs	Caregiver	Aides familiaux	550
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Economic	Économique	Worker Program	Programme des travailleurs	Skilled Trade	Métiers spécialisés	35
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Economic	Économique	Worker Program	Programme des travailleurs	Skilled Worker	Travailleurs qualifiés	430
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Protected Person in Canada	Personnes protégées au Canada	Dependant of protected person	Personnes à charge d'une personne protégée	30
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Protected Person in Canada	Personnes protégées au Canada	Protected Person	Personnes protégées	35
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Resettled Refugee	Réfugiés réinstallés	Government-Assisted Refugee	Réfugiés pris en charge par le gouvernement	60
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Resettled Refugee	Réfugiés réinstallés	Privately Sponsored Refugee	Réfugiés parrainés par le secteur privé	50
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Sponsored Family	Famille parrainée	Sponsored Family	Famille parrainée	Sponsored Children	Enfants parrainés	30
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Sponsored Family	Famille parrainée	Sponsored Family	Famille parrainée	Sponsored Extended Family Member	Membres de la famille élargie parrainés	--
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Sponsored Family	Famille parrainée	Sponsored Family	Famille parrainée	Sponsored Parent or Grandparent	Parents ou grands-parents parrainés	95
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Sponsored Family	Famille parrainée	Sponsored Family	Famille parrainée	Sponsored Spouse or Partner	Époux ou conjoints de fait parrainés	500
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	All Other Immigration	Toute autre immigration	Humanitarian & Compassionate	Circonstances d'ordre humanitaire	Humanitarian & Compassionate	Circonstances d'ordre humanitaire	--
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	All Other Immigration	Toute autre immigration	Public Policy	Politique d'intérêt public	Public Policy	Politique d'intérêt public	5
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	Economic	Économique	Business	Programme des gens d’affaires	Investor	Investisseurs	45
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	Economic	Économique	Business	Programme des gens d’affaires	Self-Employed	Travailleurs autonomes	5
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	Economic	Économique	Provincial Nominee Program	Candidats des provinces ou des territoires	Provincial Nominee Program	Candidats des provinces ou des territoires	265
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	Economic	Économique	Worker Program	Programme des travailleurs	Canadian Experience	Catégorie de l’expérience canadienne	125
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	Economic	Économique	Worker Program	Programme des travailleurs	Caregiver	Aides familiaux	420
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	Economic	Économique	Worker Program	Programme des travailleurs	Skilled Worker	Travailleurs qualifiés	410
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Protected Person in Canada	Personnes protégées au Canada	Dependant of protected person	Personnes à charge d'une personne protégée	--
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Protected Person in Canada	Personnes protégées au Canada	Protected Person	Personnes protégées	10
